Date,Product_Name,Category,Cost_Price,Selling_Price,Inventory_Start,Restock_Received,Units_Sold,Inventory_End,Is_Promotion_Active
2025-07-02,Pads,Stationery,0.80,2.50,48,0,1,47,FALSE
2025-07-02,Superglue,Stationery,0.40,1.50,29,10,2,37,FALSE
2025-07-02,AA Batteries,Stationery,1.50,4.99,74,0,4,70,FALSE
2025-07-02,Hand Soap,Personal,1.20,2.50,30,0,5,25,FALSE
2025-07-02,Canned Tuna,Pantry,0.90,1.50,48,24,8,64,FALSE
2025-07-02,Seasonal Decor,Seasonal,2.50,5.00,15,30,45,0,TRUE
2025-07-03,Water Bottles,Beverages,0.85,1.00,0,100,85,15,TRUE
2025-07-03,Soft Drinks,Beverages,0.90,1.25,33,0,33,0,TRUE
2025-07-03,Energy Drinks,Beverages,1.50,2.50,17,24,12,29,FALSE
2025-07-03,Cheap Chocolates,Snacks,0.40,1.00,123,0,10,113,FALSE
2025-07-03,Gums,Snacks,0.30,1.25,132,0,5,127,FALSE
2025-07-03,Dog Treats,Snacks,2.00,4.50,26,12,6,32,FALSE
2025-07-03,Garbage Bags,Household,3.00,5.50,49,0,8,41,FALSE
2025-07-03,Sponges,Household,0.50,1.50,35,20,8,47,FALSE
2025-07-03,Aluminum Foil,Household,1.80,3.00,28,0,2,26,FALSE
2025-07-03,Napkins,Household,1.00,2.00,49,0,18,31,TRUE
2025-07-03,Disposable Plates,Household,1.50,3.00,20,30,22,28,TRUE
2025-07-03,Cleaning Spray,Household,2.00,4.00,19,0,4,15,FALSE
2025-07-03,Pens,Stationery,0.50,2.00,91,0,6,85,FALSE
2025-07-03,Notebooks,Stationery,1.00,3.00,35,0,0,35,FALSE
2025-07-03,Pads,Stationery,0.80,2.50,47,0,2,45,FALSE
2025-07-03,Superglue,Stationery,0.40,1.50,37,0,0,37,FALSE
2025-07-03,AA Batteries,Stationery,1.50,4.99,70,0,3,67,FALSE
2025-07-03,Hand Soap,Personal,1.20,2.50,25,12,6,31,FALSE
2025-07-03,Canned Tuna,Pantry,0.90,1.50,64,0,10,54,FALSE
2025-07-03,Seasonal Decor,Seasonal,2.50,5.00,0,50,48,2,TRUE
2025-07-04,Water Bottles,Beverages,0.85,1.00,15,60,75,0,TRUE
2025-07-04,Soft Drinks,Beverages,0.90,1.25,0,50,50,0,TRUE
2025-07-04,Energy Drinks,Beverages,1.50,2.50,29,0,20,9,FALSE
2025-07-04,Cheap Chocolates,Snacks,0.40,1.00,113,0,14,99,FALSE
2025-07-04,Gums,Snacks,0.30,1.25,127,0,12,115,FALSE
2025-07-04,Dog Treats,Snacks,2.00,4.50,32,0,3,29,FALSE
2025-07-04,Garbage Bags,Household,3.00,5.50,41,0,5,36,FALSE
2025-07-04,Sponges,Household,0.50,1.50,47,0,6,41,FALSE
2025-07-04,Aluminum Foil,Household,1.80,3.00,26,10,5,31,FALSE
2025-07-04,Napkins,Household,1.00,2.00,31,24,25,30,TRUE
2025-07-04,Disposable Plates,Household,1.50,3.00,28,0,25,3,TRUE
2025-07-04,Cleaning Spray,Household,2.00,4.00,15,12,6,21,FALSE
2025-07-04,Pens,Stationery,0.50,2.00,85,0,3,82,FALSE
2025-07-04,Notebooks,Stationery,1.00,3.00,35,10,1,44,FALSE
2025-07-04,Pads,Stationery,0.80,2.50,45,0,0,45,FALSE
2025-07-04,Superglue,Stationery,0.40,1.50,37,0,2,35,FALSE
2025-07-04,AA Batteries,Stationery,1.50,4.99,67,20,5,82,FALSE
2025-07-04,Hand Soap,Personal,1.20,2.50,31,0,4,27,FALSE
2025-07-04,Canned Tuna,Pantry,0.90,1.50,54,0,8,46,FALSE
2025-07-04,Seasonal Decor,Seasonal,2.50,5.00,2,40,42,0,TRUE
2025-07-05,Water Bottles,Beverages,0.85,1.00,0,120,95,25,TRUE
2025-07-05,Soft Drinks,Beverages,0.90,1.25,0,60,60,0,TRUE
2025-07-05,Energy Drinks,Beverages,1.50,2.50,9,36,25,20,FALSE
2025-07-05,Cheap Chocolates,Snacks,0.40,1.00,99,0,18,81,FALSE
2025-07-05,Gums,Snacks,0.30,1.25,115,0,15,100,FALSE
2025-07-05,Dog Treats,Snacks,2.00,4.50,29,0,8,21,FALSE
2025-07-05,Garbage Bags,Household,3.00,5.50,36,0,7,29,FALSE
2025-07-05,Sponges,Household,0.50,1.50,41,0,4,37,FALSE
2025-07-05,Aluminum Foil,Household,1.80,3.00,31,0,3,28,FALSE
2025-07-05,Napkins,Household,1.00,2.00,30,0,28,2,TRUE
2025-07-05,Disposable Plates,Household,1.50,3.00,3,48,35,16,TRUE
2025-07-05,Cleaning Spray,Household,2.00,4.00,21,0,5,16,FALSE
2025-07-05,Pens,Stationery,0.50,2.00,82,0,2,80,FALSE
2025-07-05,Notebooks,Stationery,1.00,3.00,44,0,2,42,FALSE
2025-07-05,Pads,Stationery,0.80,2.50,45,0,1,44,FALSE
2025-07-05,Superglue,Stationery,0.40,1.50,35,0,1,34,FALSE
2025-07-05,AA Batteries,Stationery,1.50,4.99,82,0,8,74,FALSE
2025-07-05,Hand Soap,Personal,1.20,2.50,27,0,6,21,FALSE
2025-07-05,Canned Tuna,Pantry,0.90,1.50,46,24,14,56,FALSE
2025-07-05,Seasonal Decor,Seasonal,2.50,5.00,0,60,60,0,TRUE
2025-07-06,Water Bottles,Beverages,0.85,1.00,25,0,25,0,TRUE
2025-07-06,Soft Drinks,Beverages,0.90,1.25,0,40,40,0,TRUE
2025-07-06,Energy Drinks,Beverages,1.50,2.50,20,0,18,2,FALSE
2025-07-06,Cheap Chocolates,Snacks,0.40,1.00,81,0,15,66,FALSE
2025-07-06,Gums,Snacks,0.30,1.25,100,0,10,90,FALSE
2025-07-06,Dog Treats,Snacks,2.00,4.50,21,12,5,28,FALSE
2025-07-06,Garbage Bags,Household,3.00,5.50,29,20,6,43,FALSE
2025-07-06,Sponges,Household,0.50,1.50,37,0,5,32,FALSE
2025-07-06,Aluminum Foil,Household,1.80,3.00,28,0,4,24,FALSE
2025-07-06,Napkins,Household,1.00,2.00,2,50,30,22,TRUE
2025-07-06,Disposable Plates,Household,1.50,3.00,16,0,16,0,TRUE
2025-07-06,Cleaning Spray,Household,2.00,4.00,16,0,6,10,FALSE
2025-07-06,Pens,Stationery,0.50,2.00,80,0,1,79,FALSE
2025-07-06,Notebooks,Stationery,1.00,3.00,42,0,1,41,FALSE
2025-07-06,Pads,Stationery,0.80,2.50,44,0,0,44,FALSE
2025-07-06,Superglue,Stationery,0.40,1.50,34,0,0,34,FALSE
2025-07-06,AA Batteries,Stationery,1.50,4.99,74,0,6,68,FALSE
2025-07-06,Hand Soap,Personal,1.20,2.50,21,12,5,28,FALSE
2025-07-06,Canned Tuna,Pantry,0.90,1.50,56,0,10,46,FALSE
2025-07-06,Seasonal Decor,Seasonal,2.50,5.00,0,40,40,0,TRUE
2025-07-07,Water Bottles,Beverages,0.85,1.00,0,0,0,0,TRUE
2025-07-07,Soft Drinks,Beverages,0.90,1.25,0,80,45,35,TRUE
2025-07-07,Energy Drinks,Beverages,1.50,2.50,2,36,20,18,FALSE
2025-07-07,Cheap Chocolates,Snacks,0.40,1.00,66,0,8,58,FALSE
2025-07-07,Gums,Snacks,0.30,1.25,90,50,6,134,FALSE
2025-07-07,Dog Treats,Snacks,2.00,4.50,28,0,3,25,FALSE
2025-07-07,Garbage Bags,Household,3.00,5.50,43,0,4,39,FALSE
2025-07-07,Sponges,Household,0.50,1.50,32,20,6,46,FALSE
2025-07-07,Aluminum Foil,Household,1.80,3.00,24,10,3,31,FALSE
2025-07-07,Napkins,Household,1.00,2.00,22,0,12,10,TRUE
2025-07-07,Disposable Plates,Household,1.50,3.00,0,40,25,15,TRUE
2025-07-07,Cleaning Spray,Household,2.00,4.00,10,12,4,18,FALSE
2025-07-07,Pens,Stationery,0.50,2.00,79,0,3,76,FALSE
2025-07-07,Notebooks,Stationery,1.00,3.00,41,0,2,39,FALSE
2025-07-07,Pads,Stationery,0.80,2.50,44,0,1,43,FALSE
2025-07-07,Superglue,Stationery,0.40,1.50,34,0,1,33,FALSE
2025-07-07,AA Batteries,Stationery,1.50,4.99,68,0,4,64,FALSE
2025-07-07,Hand Soap,Personal,1.20,2.50,28,0,4,24,FALSE
2025-07-07,Canned Tuna,Pantry,0.90,1.50,46,0,6,40,FALSE
2025-07-07,Seasonal Decor,Seasonal,2.50,5.00,0,50,45,5,TRUE
2025-07-08,Water Bottles,Beverages,0.85,1.00,0,150,85,65,TRUE
2025-07-08,Soft Drinks,Beverages,0.90,1.25,35,24,35,24,TRUE
2025-07-08,Energy Drinks,Beverages,1.50,2.50,18,0,14,4,FALSE
2025-07-08,Cheap Chocolates,Snacks,0.40,1.00,58,0,10,48,FALSE
2025-07-08,Gums,Snacks,0.30,1.25,134,0,8,126,FALSE
2025-07-08,Dog Treats,Snacks,2.00,4.50,25,0,4,21,FALSE
2025-07-08,Garbage Bags,Household,3.00,5.50,39,0,5,34,FALSE
2025-07-08,Sponges,Household,0.50,1.50,46,0,4,42,FALSE
2025-07-08,Aluminum Foil,Household,1.80,3.00,31,0,3,28,FALSE
2025-07-08,Napkins,Household,1.00,2.00,10,24,15,19,TRUE
2025-07-08,Disposable Plates,Household,1.50,3.00,15,0,15,0,TRUE
2025-07-08,Cleaning Spray,Household,2.00,4.00,18,0,5,13,FALSE
2025-07-08,Pens,Stationery,0.50,2.00,76,0,2,74,FALSE
2025-07-08,Notebooks,Stationery,1.00,3.00,39,10,1,48,FALSE
2025-07-08,Pads,Stationery,0.80,2.50,43,0,0,43,FALSE
2025-07-08,Superglue,Stationery,0.40,1.50,33,0,0,33,FALSE
2025-07-08,AA Batteries,Stationery,1.50,4.99,64,0,3,61,FALSE
2025-07-08,Hand Soap,Personal,1.20,2.50,24,0,3,21,FALSE
2025-07-08,Canned Tuna,Pantry,0.90,1.50,40,0,8,32,FALSE
2025-07-08,Seasonal Decor,Seasonal,2.50,5.00,5,30,35,0,TRUE
2025-07-09,Water Bottles,Beverages,0.85,1.00,65,0,55,10,TRUE
2025-07-09,Soft Drinks,Beverages,0.90,1.25,24,40,40,24,TRUE
2025-07-09,Energy Drinks,Beverages,1.50,2.50,4,24,18,10,FALSE
2025-07-09,Cheap Chocolates,Snacks,0.40,1.00,48,40,12,76,FALSE
2025-07-09,Gums,Snacks,0.30,1.25,126,0,8,118,FALSE
2025-07-09,Dog Treats,Snacks,2.00,4.50,21,0,3,18,FALSE
2025-07-09,Garbage Bags,Household,3.00,5.50,34,20,6,48,FALSE
2025-07-09,Sponges,Household,0.50,1.50,42,0,5,37,FALSE
2025-07-09,Aluminum Foil,Household,1.80,3.00,28,0,2,26,FALSE
2025-07-09,Napkins,Household,1.00,2.00,19,0,15,4,TRUE
2025-07-09,Disposable Plates,Household,1.50,3.00,0,40,20,20,TRUE
2025-07-09,Cleaning Spray,Household,2.00,4.00,13,0,4,9,FALSE
2025-07-09,Pens,Stationery,0.50,2.00,74,20,4,90,FALSE
2025-07-09,Notebooks,Stationery,1.00,3.00,48,0,2,46,FALSE
2025-07-09,Pads,Stationery,0.80,2.50,43,0,1,42,FALSE
2025-07-09,Superglue,Stationery,0.40,1.50,33,10,1,42,FALSE
2025-07-09,AA Batteries,Stationery,1.50,4.99,61,0,2,59,FALSE
2025-07-09,Hand Soap,Personal,1.20,2.50,21,12,6,27,FALSE
2025-07-09,Canned Tuna,Pantry,0.90,1.50,32,24,10,46,FALSE
2025-07-09,Seasonal Decor,Seasonal,2.50,5.00,0,40,40,0,TRUE
2025-07-10,Water Bottles,Beverages,0.85,1.00,10,50,60,0,TRUE
2025-07-10,Soft Drinks,Beverages,0.90,1.25,24,0,24,0,TRUE
2025-07-10,Energy Drinks,Beverages,1.50,2.50,10,0,10,0,FALSE
2025-07-10,Cheap Chocolates,Snacks,0.40,1.00,76,0,8,68,FALSE
2025-07-10,Gums,Snacks,0.30,1.25,118,0,6,112,FALSE
2025-07-10,Dog Treats,Snacks,2.00,4.50,18,12,4,26,FALSE
2025-07-10,Garbage Bags,Household,3.00,5.50,48,0,6,42,FALSE
2025-07-10,Sponges,Household,0.50,1.50,37,0,4,33,FALSE
2025-07-10,Aluminum Foil,Household,1.80,3.00,26,0,2,24,FALSE
2025-07-10,Napkins,Household,1.00,2.00,4,40,25,19,TRUE
2025-07-10,Disposable Plates,Household,1.50,3.00,20,0,18,2,TRUE
2025-07-10,Cleaning Spray,Household,2.00,4.00,9,12,5,16,FALSE
2025-07-10,Pens,Stationery,0.50,2.00,90,0,3,87,FALSE
2025-07-10,Notebooks,Stationery,1.00,3.00,46,0,1,45,FALSE
2025-07-10,Pads,Stationery,0.80,2.50,42,0,0,42,FALSE
2025-07-10,Superglue,Stationery,0.40,1.50,42,0,1,41,FALSE
2025-07-10,AA Batteries,Stationery,1.50,4.99,59,0,3,56,FALSE
2025-07-10,Hand Soap,Personal,1.20,2.50,27,0,4,23,FALSE
2025-07-10,Canned Tuna,Pantry,0.90,1.50,46,0,6,40,FALSE
2025-07-10,Seasonal Decor,Seasonal,2.50,5.00,0,50,45,5,TRUE
2025-07-11,Water Bottles,Beverages,0.85,1.00,0,100,80,20,TRUE
2025-07-11,Soft Drinks,Beverages,0.90,1.25,0,80,60,20,TRUE
2025-07-11,Energy Drinks,Beverages,1.50,2.50,0,30,25,5,FALSE
2025-07-11,Cheap Chocolates,Snacks,0.40,1.00,68,0,15,53,FALSE
2025-07-11,Gums,Snacks,0.30,1.25,112,0,10,102,FALSE
2025-07-11,Dog Treats,Snacks,2.00,4.50,26,0,6,20,FALSE
2025-07-11,Garbage Bags,Household,3.00,5.50,42,0,8,34,FALSE
2025-07-11,Sponges,Household,0.50,1.50,33,20,6,47,FALSE
2025-07-11,Aluminum Foil,Household,1.80,3.00,24,10,5,29,FALSE
2025-07-11,Napkins,Household,1.00,2.00,19,0,15,4,TRUE
2025-07-11,Disposable Plates,Household,1.50,3.00,2,40,30,12,TRUE
2025-07-11,Cleaning Spray,Household,2.00,4.00,16,0,6,10,FALSE
2025-07-11,Pens,Stationery,0.50,2.00,87,0,5,82,FALSE
2025-07-11,Notebooks,Stationery,1.00,3.00,45,0,2,43,FALSE
2025-07-11,Pads,Stationery,0.80,2.50,42,0,1,41,FALSE
2025-07-11,Superglue,Stationery,0.40,1.50,41,0,2,39,FALSE
2025-07-11,AA Batteries,Stationery,1.50,4.99,56,0,6,50,FALSE
2025-07-11,Hand Soap,Personal,1.20,2.50,23,0,5,18,FALSE
2025-07-11,Canned Tuna,Pantry,0.90,1.50,40,0,10,30,FALSE
2025-07-11,Seasonal Decor,Seasonal,2.50,5.00,5,50,55,0,TRUE
2025-07-12,Water Bottles,Beverages,0.85,1.00,20,80,90,10,TRUE
2025-07-12,Soft Drinks,Beverages,0.90,1.25,20,50,65,5,TRUE
2025-07-12,Energy Drinks,Beverages,1.50,2.50,5,30,25,10,FALSE
2025-07-12,Cheap Chocolates,Snacks,0.40,1.00,53,40,20,73,FALSE
2025-07-12,Gums,Snacks,0.30,1.25,102,0,12,90,FALSE
2025-07-12,Dog Treats,Snacks,2.00,4.50,20,0,6,14,FALSE
2025-07-12,Garbage Bags,Household,3.00,5.50,34,0,8,26,FALSE
2025-07-12,Sponges,Household,0.50,1.50,47,0,5,42,FALSE
2025-07-12,Aluminum Foil,Household,1.80,3.00,29,0,4,25,FALSE
2025-07-12,Napkins,Household,1.00,2.00,4,40,35,9,TRUE
2025-07-12,Disposable Plates,Household,1.50,3.00,12,20,32,0,TRUE
2025-07-12,Cleaning Spray,Household,2.00,4.00,10,12,6,16,FALSE
2025-07-12,Pens,Stationery,0.50,2.00,82,0,4,78,FALSE
2025-07-12,Notebooks,Stationery,1.00,3.00,43,0,2,41,FALSE
2025-07-12,Pads,Stationery,0.80,2.50,41,0,1,40,FALSE
2025-07-12,Superglue,Stationery,0.40,1.50,39,0,1,38,FALSE
2025-07-12,AA Batteries,Stationery,1.50,4.99,50,20,10,60,FALSE
2025-07-12,Hand Soap,Personal,1.20,2.50,18,12,8,22,FALSE
2025-07-12,Canned Tuna,Pantry,0.90,1.50,30,24,15,39,FALSE
2025-07-12,Seasonal Decor,Seasonal,2.50,5.00,0,60,60,0,TRUE
2025-07-13,Water Bottles,Beverages,0.85,1.00,10,0,10,0,TRUE
2025-07-13,Soft Drinks,Beverages,0.90,1.25,5,0,5,0,TRUE
2025-07-13,Energy Drinks,Beverages,1.50,2.50,10,0,10,0,FALSE
2025-07-13,Cheap Chocolates,Snacks,0.40,1.00,73,0,15,58,FALSE
2025-07-13,Gums,Snacks,0.30,1.25,90,0,10,80,FALSE
2025-07-13,Dog Treats,Snacks,2.00,4.50,14,0,5,9,FALSE
2025-07-13,Garbage Bags,Household,3.00,5.50,26,20,7,39,FALSE
2025-07-13,Sponges,Household,0.50,1.50,42,0,5,37,FALSE
2025-07-13,Aluminum Foil,Household,1.80,3.00,25,0,3,22,FALSE
2025-07-13,Napkins,Household,1.00,2.00,9,0,9,0,TRUE
2025-07-13,Disposable Plates,Household,1.50,3.00,0,30,25,5,TRUE
2025-07-13,Cleaning Spray,Household,2.00,4.00,16,0,5,11,FALSE
2025-07-13,Pens,Stationery,0.50,2.00,78,0,3,75,FALSE
2025-07-13,Notebooks,Stationery,1.00,3.00,41,0,1,40,FALSE
2025-07-13,Pads,Stationery,0.80,2.50,40,0,1,39,FALSE
2025-07-13,Superglue,Stationery,0.40,1.50,38,0,0,38,FALSE
2025-07-13,AA Batteries,Stationery,1.50,4.99,60,0,8,52,FALSE
2025-07-13,Hand Soap,Personal,1.20,2.50,22,0,5,17,FALSE
2025-07-13,Canned Tuna,Pantry,0.90,1.50,39,0,12,27,FALSE
2025-07-13,Seasonal Decor,Seasonal,2.50,5.00,0,50,50,0,TRUE
2025-07-14,Water Bottles,Beverages,0.85,1.00,0,0,0,0,TRUE
2025-07-14,Soft Drinks,Beverages,0.90,1.25,0,0,0,0,TRUE
2025-07-14,Energy Drinks,Beverages,1.50,2.50,0,0,0,0,FALSE
2025-07-14,Cheap Chocolates,Snacks,0.40,1.00,58,0,8,50,FALSE
2025-07-14,Gums,Snacks,0.30,1.25,80,40,8,112,FALSE
2025-07-14,Dog Treats,Snacks,2.00,4.50,9,12,4,17,FALSE
2025-07-14,Garbage Bags,Household,3.00,5.50,39,0,4,35,FALSE
2025-07-14,Sponges,Household,0.50,1.50,37,0,4,33,FALSE
2025-07-14,Aluminum Foil,Household,1.80,3.00,22,10,3,29,FALSE
2025-07-14,Napkins,Household,1.00,2.00,0,40,20,20,TRUE
2025-07-14,Disposable Plates,Household,1.50,3.00,5,20,15,10,TRUE
2025-07-14,Cleaning Spray,Household,2.00,4.00,11,0,4,7,FALSE
2025-07-14,Pens,Stationery,0.50,2.00,75,0,4,71,FALSE
2025-07-14,Notebooks,Stationery,1.00,3.00,40,0,1,39,FALSE
2025-07-14,Pads,Stationery,0.80,2.50,39,0,1,38,FALSE
2025-07-14,Superglue,Stationery,0.40,1.50,38,0,0,38,FALSE
2025-07-14,AA Batteries,Stationery,1.50,4.99,52,0,4,48,FALSE
2025-07-14,Hand Soap,Personal,1.20,2.50,17,12,4,25,FALSE
2025-07-14,Canned Tuna,Pantry,0.90,1.50,27,24,8,43,FALSE
2025-07-14,Seasonal Decor,Seasonal,2.50,5.00,0,40,35,5,TRUE
2025-07-15,Water Bottles,Beverages,0.85,1.00,0,200,80,120,TRUE
2025-07-15,Soft Drinks,Beverages,0.90,1.25,0,100,50,50,TRUE
2025-07-15,Energy Drinks,Beverages,1.50,2.50,0,40,20,20,FALSE
2025-07-15,Cheap Chocolates,Snacks,0.40,1.00,50,40,10,80,FALSE
2025-07-15,Gums,Snacks,0.30,1.25,112,0,8,104,FALSE
2025-07-15,Dog Treats,Snacks,2.00,4.50,17,0,3,14,FALSE
2025-07-15,Garbage Bags,Household,3.00,5.50,35,0,5,30,FALSE
2025-07-15,Sponges,Household,0.50,1.50,33,20,4,49,FALSE
2025-07-15,Aluminum Foil,Household,1.80,3.00,29,0,3,26,FALSE
2025-07-15,Napkins,Household,1.00,2.00,20,0,15,5,TRUE
2025-07-15,Disposable Plates,Household,1.50,3.00,10,0,10,0,TRUE
2025-07-15,Cleaning Spray,Household,2.00,4.00,7,12,5,14,FALSE
2025-07-15,Pens,Stationery,0.50,2.00,71,0,3,68,FALSE
2025-07-15,Notebooks,Stationery,1.00,3.00,39,10,1,48,FALSE
2025-07-15,Pads,Stationery,0.80,2.50,38,0,0,38,FALSE
2025-07-15,Superglue,Stationery,0.40,1.50,38,0,1,37,FALSE
2025-07-15,AA Batteries,Stationery,1.50,4.99,48,0,3,45,FALSE
2025-07-15,Hand Soap,Personal,1.20,2.50,25,0,3,22,FALSE
2025-07-15,Canned Tuna,Pantry,0.90,1.50,43,0,10,33,FALSE
2025-07-15,Seasonal Decor,Seasonal,2.50,5.00,5,30,35,0,TRUE
2025-07-16,Water Bottles,Beverages,0.85,1.00,120,0,60,60,TRUE
2025-07-16,Soft Drinks,Beverages,0.90,1.25,50,0,30,20,TRUE
2025-07-16,Energy Drinks,Beverages,1.50,2.50,20,0,15,5,FALSE
2025-07-16,Cheap Chocolates,Snacks,0.40,1.00,80,0,8,72,FALSE
2025-07-16,Gums,Snacks,0.30,1.25,104,0,6,98,FALSE
2025-07-16,Dog Treats,Snacks,2.00,4.50,14,0,3,11,FALSE
2025-07-16,Garbage Bags,Household,3.00,5.50,30,20,6,44,FALSE
2025-07-16,Sponges,Household,0.50,1.50,49,0,4,45,FALSE
2025-07-16,Aluminum Foil,Household,1.80,3.00,26,0,2,24,FALSE
2025-07-16,Napkins,Household,1.00,2.00,5,40,20,25,TRUE
2025-07-16,Disposable Plates,Household,1.50,3.00,0,40,20,20,TRUE
2025-07-16,Cleaning Spray,Household,2.00,4.00,14,0,4,10,FALSE
2025-07-16,Pens,Stationery,0.50,2.00,68,20,2,86,FALSE
2025-07-16,Notebooks,Stationery,1.00,3.00,48,0,1,47,FALSE
2025-07-16,Pads,Stationery,0.80,2.50,38,0,1,37,FALSE
2025-07-16,Superglue,Stationery,0.40,1.50,37,0,0,37,FALSE
2025-07-16,AA Batteries,Stationery,1.50,4.99,45,0,2,43,FALSE
2025-07-16,Hand Soap,Personal,1.20,2.50,22,0,4,18,FALSE
2025-07-16,Canned Tuna,Pantry,0.90,1.50,33,0,8,25,FALSE
2025-07-16,Seasonal Decor,Seasonal,2.50,5.00,0,40,38,2,TRUE
2025-07-17,Water Bottles,Beverages,0.85,1.00,60,40,70,30,TRUE
2025-07-17,Soft Drinks,Beverages,0.90,1.25,20,40,35,25,TRUE
2025-07-17,Energy Drinks,Beverages,1.50,2.50,5,24,18,11,FALSE
2025-07-17,Cheap Chocolates,Snacks,0.40,1.00,72,0,8,64,FALSE
2025-07-17,Gums,Snacks,0.30,1.25,98,0,5,93,FALSE
2025-07-17,Dog Treats,Snacks,2.00,4.50,11,12,3,20,FALSE
2025-07-17,Garbage Bags,Household,3.00,5.50,44,0,5,39,FALSE
2025-07-17,Sponges,Household,0.50,1.50,45,0,4,41,FALSE
2025-07-17,Aluminum Foil,Household,1.80,3.00,24,0,2,22,FALSE
2025-07-17,Napkins,Household,1.00,2.00,25,0,15,10,TRUE
2025-07-17,Disposable Plates,Household,1.50,3.00,20,0,15,5,TRUE
2025-07-17,Cleaning Spray,Household,2.00,4.00,10,12,5,17,FALSE
2025-07-17,Pens,Stationery,0.50,2.00,86,0,2,84,FALSE
2025-07-17,Notebooks,Stationery,1.00,3.00,47,0,1,46,FALSE
2025-07-17,Pads,Stationery,0.80,2.50,37,10,1,46,FALSE
2025-07-17,Superglue,Stationery,0.40,1.50,37,0,1,36,FALSE
2025-07-17,AA Batteries,Stationery,1.50,4.99,43,0,2,41,FALSE
2025-07-17,Hand Soap,Personal,1.20,2.50,18,12,5,25,FALSE
2025-07-17,Canned Tuna,Pantry,0.90,1.50,25,24,10,39,FALSE
2025-07-17,Seasonal Decor,Seasonal,2.50,5.00,2,50,45,7,TRUE
2025-07-18,Water Bottles,Beverages,0.85,1.00,30,80,90,20,TRUE
2025-07-18,Soft Drinks,Beverages,0.90,1.25,25,48,50,23,TRUE
2025-07-18,Energy Drinks,Beverages,1.50,2.50,11,0,11,0,FALSE
2025-07-18,Cheap Chocolates,Snacks,0.40,1.00,64,0,14,50,FALSE
2025-07-18,Gums,Snacks,0.30,1.25,93,0,10,83,FALSE
2025-07-18,Dog Treats,Snacks,2.00,4.50,20,0,5,15,FALSE
2025-07-18,Garbage Bags,Household,3.00,5.50,39,0,6,33,FALSE
2025-07-18,Sponges,Household,0.50,1.50,41,0,5,36,FALSE
2025-07-18,Aluminum Foil,Household,1.80,3.00,22,10,4,28,FALSE
2025-07-18,Napkins,Household,1.00,2.00,10,24,20,14,TRUE
2025-07-18,Disposable Plates,Household,1.50,3.00,5,30,25,10,TRUE
2025-07-18,Cleaning Spray,Household,2.00,4.00,17,0,5,12,FALSE
